 #      ef (Ry)                N(ef)-N0 6
  -1.34132934984937       -68.0000000000000     
 -0.375082950194235       -54.5996162044086     
  0.108040249633335       -36.1018167605409     
  0.349601849547120      -0.940788969630589     
  0.470382649504013        5.67975236949100     
  0.409992249525566       0.111764549504514     
  0.379797049536343      -6.255565381403017E-002
  0.394894649530955      -5.103740750824670E-002
  0.402443449528260      -9.509814972858521E-003
  0.406217849526913       7.799367428944493E-003
  0.404330649527587      -2.652797292910236E-003
  0.405274249527250       1.302095261124236E-003
  0.404802449527419      -8.478817779575820E-004
  0.405038349527334       1.686234198956527E-004
  0.404920399527377      -3.521509058828087E-004
  0.404979374527355      -9.514523831910537E-005
  0.405008862027345       3.586134170063815E-005
  0.404994118277350      -2.985729439330953E-005
  0.405001490152348       2.947678510167862E-006
  0.404997804214849      -1.346833046511620E-005
  0.404999647183598      -5.263714569991862E-006
  0.405000568667973      -1.158866183459395E-006
  0.405001029410160       8.941940023987627E-007
  0.405000799039066      -1.323891041238312E-007
  0.405000914224613       3.808892046208712E-007
  0.405000856631840       1.242467106976619E-007
  0.405000827835453      -4.072035153512843E-009
  0.405000842233647       6.008714592553588E-008
  0.405000835034550       2.800751985887473E-008
  0.405000831435002       1.196775656353566E-008
  0.405000829635227       3.947860705011408E-009
  0.405000828735340      -6.208722425071755E-011
